num_records,recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
102,93,42873,Teriyaki Chicken Thighs,sp_ntGYkGOWUm_42873_c_419135,u_HUxELnwyyj,avilasamantha,5,1740489319,4,65,1,5,52,"I followed the recipe exactly, and it turned out amazing!"
103,93,42873,Teriyaki Chicken Thighs,sp_OoGwxrgwTl_42873_c_216996,u_EBQdMZElSX,fmoore,4,1739851355,3,80,4,1,50,My whole family enjoyed this meal. Definitely making it again.
104,93,42873,Teriyaki Chicken Thighs,sp_sSMuIKdwbO_42873_c_675533,u_cznDtNzKUe,pricedenise,5,1740382677,0,35,10,5,75,"The sauce was fantastic! I served it over rice, and it was a hit."
105,93,42873,Teriyaki Chicken Thighs,sp_uBqFvLKFQw_42873_c_624240,u_AEYQUdUjpk,nicholas43,3,1739777288,3,2,7,2,53,Very easy to make and so flavorful. A great recipe for a quick meal.
106,93,42873,Teriyaki Chicken Thighs,sp_tyLogcbrhU_42873_c_391348,u_JTKPjmXmIW,dorseydouglas,4,1740158932,3,59,10,5,51,"The sauce was fantastic! I served it over rice, and it was a hit."
107,93,42873,Teriyaki Chicken Thighs,sp_LERhgyhtco_42873_c_130457,u_qOzfxBMsey,mooremichael,1,1739973410,3,20,0,1,69,"Loved this recipe! I substituted chicken for tofu, and it still turned out great."
108,93,42873,Teriyaki Chicken Thighs,sp_ouelwnzZKc_42873_c_766794,u_FcvfpGavHX,matthewsrachel,2,1739738478,3,34,2,4,73,"I followed the recipe exactly, and it turned out amazing!"
109,93,42873,Teriyaki Chicken Thighs,sp_QcECxrtjwq_42873_c_238215,u_MMGgRaFaip,feliciamartin,1,1740552741,2,70,4,3,88,My whole family enjoyed this meal. Definitely making it again.
110,93,42873,Teriyaki Chicken Thighs,sp_CdxobruZUp_42873_c_429588,u_qNUmybWFke,graydeborah,5,1740320698,5,17,10,1,88,This recipe was absolutely delicious! The flavors blended so well.
111,93,42873,Teriyaki Chicken Thighs,sp_GYiRwVvtQJ_42873_c_770504,u_GqVakyBILa,natalie06,1,1740297653,0,44,5,3,67,"I followed the recipe exactly, and it turned out amazing!"
112,93,42873,Teriyaki Chicken Thighs,sp_EjFooWUaVn_42873_c_208909,u_pxneiOYNcN,millercody,4,1740048199,1,85,7,2,92,"Loved this recipe! I substituted chicken for tofu, and it still turned out great."
113,93,42873,Teriyaki Chicken Thighs,sp_EtkeTskabS_42873_c_382877,u_uNuLaurGmf,tinamcknight,2,1740262692,2,55,4,2,84,This recipe was absolutely delicious! The flavors blended so well.
114,93,42873,Teriyaki Chicken Thighs,sp_oUofCyMWeq_42873_c_649743,u_FCmwcXeLLs,conniemanning,2,1740385894,1,79,7,2,62,"Loved this recipe! I substituted chicken for tofu, and it still turned out great."
115,93,42873,Teriyaki Chicken Thighs,sp_NyGMAorGcH_42873_c_948003,u_fedYEGzsKn,mharper,5,1740524729,0,84,10,3,84,"Simple, quick, and delicious! Perfect for a busy weeknight dinner."
116,93,42873,Teriyaki Chicken Thighs,sp_oWoWQQyVOR_42873_c_479106,u_WJpzHxpEnZ,kpatterson,4,1739899996,2,12,6,3,64,The balance of flavors was perfect! Will be adding this to my favorites.
117,93,42873,Teriyaki Chicken Thighs,sp_pCOfRVphgr_42873_c_546282,u_dHvkTMJgWc,michaelmaldonado,1,1739934139,2,22,7,3,71,The balance of flavors was perfect! Will be adding this to my favorites.
118,93,42873,Teriyaki Chicken Thighs,sp_EaNPjKhwoV_42873_c_232766,u_JzhqXrXeFl,baileyeric,1,1740555367,5,43,1,2,92,"Simple, quick, and delicious! Perfect for a busy weeknight dinner."
119,93,42873,Teriyaki Chicken Thighs,sp_jROJcnyXpC_42873_c_586604,u_nfKVNyEjad,qjohnson,3,1740161881,2,6,9,3,81,"I followed the recipe exactly, and it turned out amazing!"
120,93,42873,Teriyaki Chicken Thighs,sp_DUvExEiCZJ_42873_c_151911,u_OgvKWhCQDq,kschwartz,5,1739791001,4,23,10,3,77,"Simple, quick, and delicious! Perfect for a busy weeknight dinner."
121,93,42873,Teriyaki Chicken Thighs,sp_XGnCuUrKpM_42873_c_653883,u_OYEGnDGmti,pbanks,4,1739943381,2,70,7,1,99,"The sauce was fantastic! I served it over rice, and it was a hit."
122,93,42873,Teriyaki Chicken Thighs,sp_sNfUTbVpNc_42873_c_697544,u_eIZRhWYFRe,lucasedward,1,1740469604,3,41,5,2,72,My whole family enjoyed this meal. Definitely making it again.
123,93,42873,Teriyaki Chicken Thighs,sp_KXcKsenmcD_42873_c_212315,u_WVZzydFHCO,chanmallory,1,1740483257,3,23,3,4,80,My whole family enjoyed this meal. Definitely making it again.
124,93,42873,Teriyaki Chicken Thighs,sp_jIqbBuRdUl_42873_c_498341,u_TFzDTjQIxp,leescott,3,1740211886,0,3,1,2,96,"The sauce was fantastic! I served it over rice, and it was a hit."
125,93,42873,Teriyaki Chicken Thighs,sp_obWDhFrWHM_42873_c_684407,u_uREJnNPuSq,dylan15,2,1739704210,1,49,1,3,57,One of the best recipes I've tried! Highly recommend this dish.
126,93,42873,Teriyaki Chicken Thighs,sp_HQDrSrTfrn_42873_c_624913,u_veXvCnFfQx,christensenerin,4,1740073755,5,85,9,4,71,Very easy to make and so flavorful. A great recipe for a quick meal.
127,93,42873,Teriyaki Chicken Thighs,sp_prRljyKANA_42873_c_306615,u_PGrJPVFmPU,krauselawrence,2,1740180639,5,21,10,4,95,"I followed the recipe exactly, and it turned out amazing!"
128,93,42873,Teriyaki Chicken Thighs,sp_WwDikNBWkH_42873_c_667892,u_sBQETFeAXC,jacob06,2,1739921980,1,22,9,4,72,Very easy to make and so flavorful. A great recipe for a quick meal.
129,93,42873,Teriyaki Chicken Thighs,sp_JlhEUZQfqq_42873_c_763536,u_ankVbUuSjx,markmoore,1,1739941107,4,53,7,1,63,Very easy to make and so flavorful. A great recipe for a quick meal.
130,93,42873,Teriyaki Chicken Thighs,sp_ybmOMtDaRF_42873_c_667201,u_enRGMFvwtH,dfoster,2,1740375444,0,30,4,3,78,This recipe was absolutely delicious! The flavors blended so well.
